EDUs		Relationen	

1⟶3		interpretation vs reason-n		So träge wie allgemein oft angenommen , scheint die Jugend im Fläming nun doch nicht zu sein .	zeigt dies , welchen Stellenwert einer guten schulischen Ausbildung inzwischen eingeräumt wird .

2⟶3		evidence vs circumstance		Denn wenn sich jetzt unterstützt von Schülern auch in Wiesenburg ein Förderverein für die Grund- und Gesamtschule gründet ,	zeigt dies , welchen Stellenwert einer guten schulischen Ausbildung inzwischen eingeräumt wird .

3⟶10		reason vs 		zeigt dies , welchen Stellenwert einer guten schulischen Ausbildung inzwischen eingeräumt wird .	Das ist gut so .
		(no matching)

7⟵3		 vs e-elaboration		sondern Teil der Kommunen .	zeigt dies , welchen Stellenwert einer guten schulischen Ausbildung inzwischen eingeräumt wird .
		(no matching)

4⟶5		circumstance vs evidence		Wie anderswo bereits seit längerem erfolgreich praktiziert ,	wird die Schule so stärker in den Mittelpunkt der Gesellschaft gerückt .

7⟵5		elaboration vs reason-n		sondern Teil der Kommunen .	wird die Schule so stärker in den Mittelpunkt der Gesellschaft gerückt .

10⟵7		interpretation vs 		Das ist gut so .	sondern Teil der Kommunen .
		(no matching)

14⟵7		 vs evaluation-s		Dass für eigentlich normale Dinge im Schulalltag dennoch immer auch Spendengeld nötig bleibt , ist ein Wermutstropfen .	sondern Teil der Kommunen .
		(no matching)

10⟵9		evaluation-s vs evaluation-n		Das ist gut so .	Selbst etwas anpacken und nicht auf Allmosen warten , scheint nun die Devise zu sein .
		(switched dir)

14⟵10		interpretation vs 		Dass für eigentlich normale Dinge im Schulalltag dennoch immer auch Spendengeld nötig bleibt , ist ein Wermutstropfen .	Das ist gut so .
		(no matching)

10⟷13		 vs list		Das ist gut so .	oder im Gespräch mit Lehrern ihre Anforderungen an die oft krititisierte Ausbildung in den Schulen verdeutlichen .
		(no matching)

14⟵13		interpretation vs contrast		Dass für eigentlich normale Dinge im Schulalltag dennoch immer auch Spendengeld nötig bleibt , ist ein Wermutstropfen .	oder im Gespräch mit Lehrern ihre Anforderungen an die oft krititisierte Ausbildung in den Schulen verdeutlichen .
		(partial CS)

12⟷13		disjunction vs conjunction		Beispielsweise könnten Handwerker und Betriebe der Region so frühzeitig Kontakte zu künftigen Lehrlingen knüpfen	oder im Gespräch mit Lehrern ihre Anforderungen an die oft krititisierte Ausbildung in den Schulen verdeutlichen .
EDUs		Relationen	

1⟶3		interpretation vs reason-n		So träge wie allgemein oft angenommen , scheint die Jugend im Fläming nun doch nicht zu sein .	zeigt dies , welchen Stellenwert einer guten schulischen Ausbildung inzwischen eingeräumt wird .

2⟶3		evidence vs circumstance		Denn wenn sich jetzt unterstützt von Schülern auch in Wiesenburg ein Förderverein für die Grund- und Gesamtschule gründet ,	zeigt dies , welchen Stellenwert einer guten schulischen Ausbildung inzwischen eingeräumt wird .

3⟶10		reason vs 		zeigt dies , welchen Stellenwert einer guten schulischen Ausbildung inzwischen eingeräumt wird .	Das ist gut so .
		(no matching)

7⟵3		 vs e-elaboration		sondern Teil der Kommunen .	zeigt dies , welchen Stellenwert einer guten schulischen Ausbildung inzwischen eingeräumt wird .
		(no matching)

4⟶5		circumstance vs evidence		Wie anderswo bereits seit längerem erfolgreich praktiziert ,	wird die Schule so stärker in den Mittelpunkt der Gesellschaft gerückt .

7⟵5		elaboration vs reason-n		sondern Teil der Kommunen .	wird die Schule so stärker in den Mittelpunkt der Gesellschaft gerückt .

10⟵7		interpretation vs 		Das ist gut so .	sondern Teil der Kommunen .
		(no matching)

14⟵7		 vs evaluation-s		Dass für eigentlich normale Dinge im Schulalltag dennoch immer auch Spendengeld nötig bleibt , ist ein Wermutstropfen .	sondern Teil der Kommunen .
		(no matching)

10⟵9		evaluation-s vs evaluation-n		Das ist gut so .	Selbst etwas anpacken und nicht auf Allmosen warten , scheint nun die Devise zu sein .
		(switched dir)

14⟵10		interpretation vs 		Dass für eigentlich normale Dinge im Schulalltag dennoch immer auch Spendengeld nötig bleibt , ist ein Wermutstropfen .	Das ist gut so .
		(no matching)

10⟷13		 vs list		Das ist gut so .	oder im Gespräch mit Lehrern ihre Anforderungen an die oft krititisierte Ausbildung in den Schulen verdeutlichen .
		(no matching)

14⟵13		interpretation vs contrast		Dass für eigentlich normale Dinge im Schulalltag dennoch immer auch Spendengeld nötig bleibt , ist ein Wermutstropfen .	oder im Gespräch mit Lehrern ihre Anforderungen an die oft krititisierte Ausbildung in den Schulen verdeutlichen .
		(partial CS)

12⟷13		disjunction vs conjunction		Beispielsweise könnten Handwerker und Betriebe der Region so frühzeitig Kontakte zu künftigen Lehrlingen knüpfen	oder im Gespräch mit Lehrern ihre Anforderungen an die oft krititisierte Ausbildung in den Schulen verdeutlichen .
